,Date,News_Title
0,2024-04-15,"Israel, Iran conflict in focus, investors eye busy earnings week: Yahoo Finance"
1,2024-04-15,Big Tech will outperform in a high interest rate environment: Wall Street pros
2,2024-04-15,"Dow Jones Futures Rise As Iran-Israel Fears Ebb; Retail Sales Jump, Tesla Slashes Jobs"
3,2024-04-15,Tesla to lay off more than 10% of workers – reports
4,2024-04-15,Donald Trump Stock DJT Vs. Elon Musk's Tesla. Which Is The Better Meme Stock?
5,2024-04-15,"These Stocks Are Moving the Most Today: Tesla, Goldman Sachs, Informatica, Salesforce, Apple, Schwab, and More"
6,2024-04-15,Tesla Cuts 'More Than 10%' Of Global Employees To Prepare For 'Next Phase Of Growth'
7,2024-04-15,Tesla Quietly Signed Deal With India's Tata Electronics To Source Chips: Report
8,2024-04-15,Tesla Stock Falls on Report of Layoffs and Global Unrest
9,2024-04-15,Tesla FSD Subscription Price Slashed To $99 A Month
10,2024-04-15,Tesla Cybertruck Deliveries Reportedly Halted
11,2024-04-15,"Tesla to lay off more than 10% of its staff, Electrek reports"
12,2024-04-15,Tesla to lay off more than 10% of staff globally as sales fall
13,2024-04-15,"Tesla scouts for its first India showroom locations, sources say"
14,2024-04-15,The Tesla Cybertruck Has Had a Rough Start. Now Production Is Halted.
15,2024-04-15,"Forget the ""Fab Four"": These 3 Artificial Intelligence (AI) Stocks Are Magnificent Buys Today"
16,2024-04-15,RPT-China EV maker Nio urges openness in US speech amid tensions
17,2024-04-15,"Ford looks to convert Tesla owners with ‘Conquest Bonus Cash,’ offering $1,500 rebates for F-150 Lightning and Mustang Mach-E electric vehicles"
18,2024-04-15,Tesla Vs. BYD: Tesla Bounces On Robotaxi Buzz; BYD Revs Up New Models
19,2024-04-15,Tesla Cut the Price of Its Top Self-Driving Service. What That Means for the Stock.
20,2024-04-15,Tesla will lay off more than 10% of global workforce: Read the Elon Musk memo
21,2024-04-15,"Tesla is still a great company, says Deepwater’s Doug Clinton"
22,2024-04-15,Tesla slashes price of its premium driver assistance option by half in U.S.
23,2024-04-15,Robotaxi regulators say Tesla hasn’t contacted them about plans teased by Musk
24,2024-04-15,"Cramer compares Warren Buffett and Elon Musk, says Wall Street has turned on Tesla CEO"
25,2024-04-15,Tesla’s Musk to meet Modi in India and announce investment plans: Reuters
26,2024-04-15,"Wednesday’s analyst calls: More Nvidia gains ahead, Tesla ‘self-inflicted’ wounds"
27,2024-04-15,Tesla settles lawsuit over Autopilot crash that killed Apple engineer
28,2024-04-15,Tesla shares have tanked 34% this year. Investors raise doubts over whether the EV maker ...
29,2024-04-15,"FullCycle founder Ibrahim Alhusseini on Tesla’s delivery decline, BMW’s EV sales and EV outlook"
